Symbol,financial_score,institutional_score,market_cap,profit_growth,sales_growth,roce,debt_to_equity,Type,Buy Date,Sell Date,Buy Price,Sell Price,PnL,PnL %,Actual_PnL
ANANDRATHI,61.2,10.0,25672.0,29.4,20.1,56.3,0.1,REALIZED,13-07-2022,08-01-2025,325.25,1917.2,146836.27978478093,489.4542659492697,146836.27978478093
ANANDRATHI,61.2,10.0,25672.0,29.4,20.1,56.3,0.1,UNREALIZED,Held,Active,3163.2,3005.0,-1500.3793626707113,-5.001264542235704,-1500.3793626707113
APARINDS,65.9,10.0,29767.0,10.5,21.2,32.7,0.14,REALIZED,30-07-2021,11-11-2024,649.2,8734.45,373625.23105360445,1245.4174368453482,373625.23105360445
ASTRAZEN,71.5,10.0,20660.0,79.6,35.1,33.4,0.04,REALIZED,12-09-2022,20-06-2025,3315.9,8871.0,50258.75327965259,167.52917759884198,50258.75327965259
BLS,72.7,10.0,12443.0,44.1,41.6,33.6,0.19,REALIZED,30-07-2021,09-10-2023,37.88,241.0,160865.89229144665,536.2196409714888,160865.89229144665
BLS,72.7,10.0,12443.0,44.1,41.6,33.6,0.19,REALIZED,14-12-2023,13-10-2025,308.7,299.8,-864.9173955296382,-2.8830579850987936,-864.9173955296382
BSE,73.0,10.0,114398.0,118.0,55.4,46.6,0.0,REALIZED,22-07-2021,17-06-2022,138.39,194.73,12213.310210275311,40.711034034251036,12213.310210275311
BSE,73.0,10.0,114398.0,118.0,55.4,46.6,0.0,REALIZED,10-07-2023,05-07-2024,231.9,801.78,73723.15653298835,245.74385510996115,73723.15653298835
BSE,73.0,10.0,114398.0,118.0,55.4,46.6,0.0,REALIZED,17-09-2024,08-07-2025,1111.23,2477.0,36871.84471261575,122.9061490420525,36871.84471261575
CGPOWER,67.9,10.0,88461.0,19.1,25.6,37.5,0.02,REALIZED,25-07-2022,10-01-2025,217.9,650.2,59518.12758145939,198.39375860486464,59518.12758145939
DIXON,68.5,10.0,65128.0,131.0,75.6,40.0,0.34,REALIZED,13-12-2023,13-01-2025,6290.65,15835.15,45517.55382989039,151.72517943296796,45517.55382989039
GRSE,81.5,10.0,27769.0,60.2,43.9,36.6,0.01,REALIZED,25-06-2021,25-05-2023,208.45,453.8,35310.626049412334,117.70208683137444,35310.626049412334
GRSE,81.5,10.0,27769.0,60.2,43.9,36.6,0.01,REALIZED,05-06-2023,05-06-2024,505.0,1180.15,40107.92079207922,133.6930693069307,40107.92079207922
GRSE,81.5,10.0,27769.0,60.2,43.9,36.6,0.01,REALIZED,25-06-2024,07-10-2024,1946.05,1538.15,-6288.122093471389,-20.960406978237963,-6288.122093471389
HDFCAMC,66.6,10.0,111206.0,21.6,20.6,43.3,0.0,REALIZED,19-07-2021,20-12-2021,2992.25,2313.6,-6804.077199431867,-22.680257331439556,-6804.077199431867
HDFCAMC,66.6,10.0,111206.0,21.6,20.6,43.3,0.0,REALIZED,20-06-2023,26-11-2025,2104.9,2679.0,8182.336453038148,27.274454843460493,8182.336453038148
LLOYDSME,40.0,10.0,66902.0,23.0,21.6,38.3,1.06,UNREALIZED,Held,Active,763.35,1150.7,15223.030064845745,50.743433549485815,15223.030064845745
MARICO,62.6,10.0,98674.0,4.91,22.6,45.2,0.14,UNREALIZED,Held,Active,533.45,751.05,12237.323085575024,40.79107695191675,12237.323085575024
MCX,58.2,10.0,62371.0,101.0,50.1,42.9,0.0,REALIZED,22-07-2021,22-02-2022,1677.6,1315.75,-6470.851216022888,-21.569504053409627,-6470.851216022888
MCX,58.2,10.0,62371.0,101.0,50.1,42.9,0.0,REALIZED,06-07-2023,10-01-2025,1628.6,5635.85,73816.46813213805,246.0548937737935,73816.46813213805
NATIONALUM,64.6,10.0,66413.0,119.0,30.8,44.0,0.0,REALIZED,19-12-2023,07-04-2025,112.65,144.69,8532.623169107854,28.442077230359512,8532.623169107854
NETWEB,75.1,10.0,18964.0,76.4,82.4,32.4,0.03,UNREALIZED,Held,Active,2526.9,3156.9,7479.520360916538,24.93173453638846,7479.520360916538
PERSISTENT,84.3,10.0,101007.0,35.1,23.3,30.4,0.06,UNREALIZED,Held,Active,3199.97,6325.0,29297.430913414817,97.65810304471606,29297.430913414817
SOLARINDS,64.2,10.0,116144.0,30.7,30.1,38.1,0.17,REALIZED,21-09-2021,01-12-2023,1952.75,6188.75,65077.45487133529,216.92484957111765,65077.45487133529
SOLARINDS,64.2,10.0,116144.0,30.7,30.1,38.1,0.17,UNREALIZED,Held,Active,9860.3,12931.0,9342.616350415305,31.142054501384347,9342.616350415305
SUZLON,81.5,10.0,65905.0,222.0,74.7,32.5,0.05,REALIZED,04-01-2022,26-05-2022,10.2,7.85,-6911.764705882352,-23.03921568627451,-6911.764705882352
SUZLON,81.5,10.0,65905.0,222.0,74.7,32.5,0.05,REALIZED,01-06-2023,22-04-2024,11.15,40.85,79910.31390134529,266.3677130044843,79910.31390134529
TRENT,51.7,10.0,138629.0,18.5,23.6,30.7,0.38,REALIZED,04-11-2021,07-11-2024,1094.3,6505.5,148346.8884218222,494.4896280727407,148346.8884218222
